filename,status,transcript
911_first6sec/call_157_1.wav,ok_whisper,My husband is up in the attic and he's not responding.
911_first6sec/call_184_0.wav,ok_whisper,"And I'm behind an open wheel for Vata, nice and plate, CEG-8148, and we've been all over the road."
911_first6sec/call_18_0.wav,ok_whisper,Your practices.
911_first6sec/call_248_0.wav,ok_whisper,I have a boy that was underwater and he's not breathing. Hold it to the boy. Four.
911_first6sec/call_277_0.wav,ok_whisper,"Yes, I have a three year old who's not by evening. Yeah, address number. 106097 Northwater."
911_first6sec/call_291_0.wav,ok_whisper,You need police for your ambulance.
911_first6sec/call_310_0.wav,ok,"Yeah, this is emergency. I'm a cab driver. This guy, he say-"
911_first6sec/call_314_1.wav,ok_whisper,And there's a fire on the thermos that will break into one of the things. And on the thermos.
911_first6sec/call_318_0.wav,ok,"Yes sir, I'm gonna need some help. I'm trapped in the backside of this forest fire."
911_first6sec/call_32_0.wav,ok_whisper,"This is the reason to learn the police can air. Okay, come down a little bit. Okay, what's the other?"
911_first6sec/call_361_0.wav,ok_whisper,Where's the fire at? Where's the fire at? Where's the fire at?
911_first6sec/call_373_0.wav,ok,(operator voice)
911_first6sec/call_404_0.wav,ok_whisper,"We'll be in the office, I'll go by now. Please, guys. We're all bleeding."
911_first6sec/call_430_0.wav,ok_whisper,"The bedroom is on fire. I have to go ahead. Okay, we're on the way."
911_first6sec/call_444_0.wav,ok_whisper,"Therefore, we have an aircraft declaring an emergency is going to land on the beach at Venice. Close to the airport. I'm not sure."
911_first6sec/call_483_0.wav,ok,"My brother's drowning. Where are you at? Um, at the-"
911_first6sec/call_490_0.wav,ok_whisper,"I've been done with you fuse I can't yesss, I can't comprehend I can't hear her voice and I can't-"
911_first6sec/call_494_0.wav,ok_whisper,"It just crashed into the Hudson River, a US air."
911_first6sec/call_531_0.wav,ok_whisper,"My pertinent on fire, he kicked out! Okay, stay on the line with me, don't hang out. No, boy!"
911_first6sec/call_534_0.wav,ok_whisper,"What's the problem there? It's a fire, I'll pregnant. There's a fire at the house? Yeah, I believe so. Okay, get outside. Okay, get outside."
911_first6sec/call_552_0.wav,ok,"Units know that it is confirmed rotation on the ground just went over our house off of, uh, Brinkley and-"
911_first6sec/call_552_1.wav,ok,"On my way into the north I've seen a funnel cloud, um, just reporting, uh, my first sighting driving through-"
911_first6sec/call_552_2.wav,ok,"Um, we just got in a tornado and um the car flipped and the windows busted and we're bleeding to death- (dramatic music)"
911_first6sec/call_552_5.wav,ok,"Yes. There's a tornado touched down off Broad and Memorial. Are you hurt sir? No, I'm looking out the window trying to get my wife."
911_first6sec/call_552_6.wav,ok,"No, ma'am. We can see a tornado. We're at 914 Hillcrest. We have about five adults-"
911_first6sec/call_559_0.wav,ok_whisper,"and then more and there's a fire back here at so much for a porch. Okay, where you need to fire department, man. I-"
911_first6sec/call_562_0.wav,ok_whisper,"I'm by the way, the dog doesn't know in the water. And we can't get out. Who am I toab?"
911_first6sec/call_594_0.wav,ok_whisper,"He's been shot. They're calling to police and an ambulance. Yeah, because he left the horseshoe. Yes, what?"
911_first6sec/call_595_0.wav,ok_whisper,happening. I just had an older woman standing there and she had noticed two gentlemen trying to get in a house.
911_first6sec/call_644_0.wav,ok_whisper,"No sir, my name is Kate. I don't know if you can say her husband said the baby I'll fire. I don't know the ladies."
911_first6sec/call_647_0.wav,ok_whisper,bal slice blind rank Ryan looking
911_first6sec/call_652_0.wav,ok_whisper,"I need to unambulance quickly and out of fire fire, you can listen."
911_first6sec/call_652_1.wav,ok_whisper,The house is on fire. The house is blowing up. Can you go and listen? We've already got a car. Is it on a lap?
911_first6sec/call_661_0.wav,ok_whisper,"can we meet a police assistance for this team? Okay, what's going on?"
911_first6sec/call_676_0.wav,ok_whisper,I need to file a approval at least your parking piece and officer to my house.
911_first6sec/call_680_0.wav,ok_whisper,the building has 30-40 tons of vehicles on fire. Reportive of House Firehouse Fire.
911_first6sec/call_680_1.wav,ok_whisper,there's a house on fire. There's a house on fire. There's a Soviet church.
911_first6sec/call_689_0.wav,ok_whisper,"I think the house is well-fire. Okay, what's the name? Where is it? One, two, two, one."
911_first6sec/call_732_0.wav,ok_whisper,"20 people in water. Yeah, we need to get out of here. 9."
911_first6sec/call_86_0.wav,ok_whisper,"Oh my god, the fire? Hello? It's the level we're inside."
